taxon,genus,family,vernacular_name,native_status,floral_unit_definition,sugar_per_floral_unit_ug,sugar_data_type,sugar_data_source,comments
Alstroemeria spp,Alstroemeria,Alstroemeriaceae,"Peruvian lily, lily of the Incas",non-native,single flower,2379.28,empirical,Tew et al. (this study),1 species in genus (Alstroemeria aurea); 10 flowers measured (1 site on 1 day) 
Anagallis arvensis,Anagallis,Primulaceae,scarlet pimpernel,native,single flower,0.00,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Anemone blanda,Anemone,Ranunculaceae,"Balkan anemone, winter windflower",non-native,single flower,0.00,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Anemone coronaria,Anemone,Ranunculaceae,poppy anemone,non-native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Anemone huphensis); 10 flowers measured (1 site on 1 day)
Anemone hupehensis and hybrids,Anemone,Ranunculaceae,Chinese/Japanese anemone,non-native,single flower,0.00,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Anemone nemorosa,Anemone,Ranunculaceae,wood anemone,native,single flower,0.79,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Anethum graveolens,Anethum,Apiaceae,dill,non-native,secondary umbel,0.42,empirical,Baude et al. 2016,1 species in genus (Pastinaca sativa used as Anethum graveolens is synonymous with Pastinaca anethum); 20 flowers measured (1 site on 1 day) and 8 FUs counted
Angelica sylvestris,Angelica,Apiaceae,wild angelica,native,secondary umbel,270.92,empirical,Baude et al. 2016,same species; 19 flowers measured (2 sites on 2 days) and 10 FUs counted
Anthriscus sylvestris,Anthriscus,Apiaceae,"cow parsley, wild chervil",native,secondary umbel,95.17,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days) and 5 FUs counted
Antirrhinum majus,Antirrhinum,Scrophulariaceae,common snapdragon,non-native,single flower,1079.17,empirical,Tew et al. (this study),same species; 30 flowers measured (1 site on 2 days)
Aquilegia sp,Aquilegia,Ranunculaceae,"columbine, granny's bonnet",native,single flower,2742.29,empirical,Tew et al. (this study),1 species in genus (Aquilegia vulgaris); 20 flowers measured (2 sites on 2 days)
Arabidopsis thaliana,Arabidopsis,Brassicaceae,"thale-cress, mouse-ear cress",native,single flower,4.16,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Arabis caucasica,Arabis,Brassicaceae,"garden arabis, mountain rock cress",non-native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Arenaria serpyllifolia,Arenaria,Caryophyllaceae,thyme-leaf sandwort,native,single flower,15.98,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Argyranthemum frutescens,Argyranthemum,Asteraceae,"marguerite daisy, Paris daisy",non-native,single capitulum,167.10,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day) and 3 FUs counted
Armeria maritima,Armeria,Plumbaginaceae,sea thrift,native,single flower,63.96,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Armeria pseudoarmeria,Armeria,Plumbaginaceae,great thrift,non-native,single flower,63.96,empirical,Baude et al. 2016,1 species in genus (Armeria maritimata); 10 flowers measured (1 site on 1 day)
Armoracia rusticana,Armoracia,Brassicaceae,horseradish,non-native,single flower,58.68,empirical,Baude et al. 2016,1 species in genus (Cardamine pratensis used given Armoracia rusticana is synonymous with Cardamine armoracia); 20 flowers measured (2 sites on 2 days)
Artemisia vulgaris,Artemisia,Asteraceae,common mugwort,non-native,single capitulum,0.00,modelled,Tew et al. (this study - modelled),"Values estimated from predictive modelling; prediction from model was -0.53, so assigned 0"
Aruncus spp,Aruncus,Rosaceae,goat's beard,non-native,single flower,0.00,modelled,Tew et al. (this study - modelled),"Values estimated from predictive modelling; prediction from model was -0.60, so assigned 0"
Asparagus officinalis,Asparagus,Asparagaceae,garden asparagus,non-native,single flower,191.03,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Aster spp,Aster,Asteraceae,Michaelmas daisy,non-native,single capitulum,828.74,empirical,Tew et al. (this study),1 species in genus (Aster × frikartii); 11 flowers measured (2 sites on 2 days) and 9 FUs counted
Astilbe sp,Astilbe,Saxifragaceae,"false goat's beard, false spirea",non-native,single flower,2.73,empirical,Tew et al. (this study),1 species genus (Astilbe x arendsii); 10 flowers measured (1 site on 1 day)
Astrantia major,Astrantia,Apiaceae,great masterwort,non-native,secondary umbel,900.55,empirical,Tew et al. (this study),same species; 32 flowers measured (3 sites on 3 days) and 20 FUs counted
Atriplex spp,Atriplex,Amaranthaceae,"saltbush, orache",native,single flower,0.10,empirical,Baude et al. 2016,1 species in genus (Atriplex patula); 20 flowers measured (2 sites on 1 day)
Aubrieta spp,Aubrieta,Brassicaceae,aubretia,non-native,single flower,250.10,empirical,Tew et al. (this study),1 species in genus (Aubrieta gracilis); 20 flowers measured (2 sites on 2 days)
Aurinia saxatilis,Aurinia,Brassicaceae," basket of gold, goldentuft alyssum",non-native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ballota nigra,Ballota,Lamiaceae,black horehound,non-native,single flower,311.11,empirical,Baude et al. 2016,1 species in genus (Stachys sylvatica used given Ballota nigra is synonymous with Stachys ballota); 19 flowers measured (2 sites on 2 days)
Barbarea spp,Barbarea,Brassicaceae,"winter cress, yellow rocket",non-native,single flower,41.50,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Begonia spp,Begonia,Begoniaceae,begonia,non-native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Begonia sp.); 10 flowers measured (1 site on 1 day)
Bellis perennis,Bellis,Asteraceae,common daisy,native,single capitulum,64.75,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 21 floral units sampled (3 sites on 3 days); weighted mean used to combine datasets at FU level
Berberis spp,Berberis,Berberidaceae,barberry,non-native,single flower,2271.34,empirical,Tew et al. (this study),"4 species in genus (unweighted mean of Berberis darwinii, Berberis julianae, Berberis thunbergii, Berberis verruculosa); 120 flowers measured (3 sites on 4 days)"
Bergenia spp,Bergenia,Saxifragaceae,"elephant-eared saxifrage, elephant's ears",non-native,single flower,871.57,empirical,Tew et al. (this study),1 species in genus (Bergenia cordifolia); 24 flowers measured (2 sites on 2 days)
Bidens ferulifolia,Bidens,Asteraceae,fern-leaved beggarticks,non-native,single capitulum,1235.79,empirical,Tew et al. (this study),1 species in genus (Coreopsis verticiliata used as Bidens ferulifolia is synonymous with Coreopsis spp.); 10 flowers measured (1 site on 1 day) and 5 FUs counted
Borago officinalis,Borago,Boraginaceae,"borage, starflower",non-native,single flower,1843.88,empirical,Tew et al. (this study),same species; 30 flowers measured (2 sites on 2 days)
Brachyglottis spp,Brachyglottis,Asteraceae,daisy bush,non-native,single capitulum,947.58,empirical,Tew et al. (this study),1 species in genus (Brachyglottis x jubar); 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Brachyscome iberidifolia,Brachyscome,Asteraceae,Swan River daisy,non-native,single capitulum,1067.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Brassica spp,Brassica,Brassicaceae,"oilseed rape, cabbage, mustard etc.",non-native,single flower,280.10,empirical,Baude et al. 2016,2 species in genus (unweighted mean of Brassica napus & Brassica rapa); 40 flowers measured (4 sites on 4 days)
Brunnera macrophylla,Brunnera,Boraginaceae,"Siberian bugloss, great forget-me-not",non-native,single flower,19.87,empirical,Tew et al. (this study),same species (2 sites on 2 days)
Bryonia dioica,Bryonia,Cucurbitaceae,white bryony,native,single flower,187.29,empirical,Timberlake et al. 2019,same species
Buddleja davidii,Buddleja,Scrophulariaceae,"buddleja, summer lilac, butterfly-bush",non-native,single panicle,10306.86,empirical,Baude et al. 2016,same species; 19 flowers measured (2 sites on 2 days) and 10 FUs counted
Buphthalmum salicifolium,Buphthalmum,Asteraceae,ox-eye,non-native,single capitulum,1067.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Calendula officinalis,Calendula,Asteraceae,"English marigold, pot marigold",non-native,single capitulum,469.52,empirical,Hicks et al. 2016,same species; 11 floral units sampled (1 site on 1 day)
Calibrachoa sp,Calibrachoa,Solanaceae,mini petunia,non-native,single flower,342.46,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Callistephus chinensis,Callistephus,Asteraceae,China aster,non-native,single capitulum,828.74,empirical,Tew et al. (this study),1 species in genus (Aster × frikartii used as Callistephus chinensis is synonymous with Aster chinensis); 11 flowers measured (2 sites on 2 days) and 9 FUs counted
Calluna vulgaris,Calluna,Ericaceae,"common heather, ling",native,single raceme,511.34,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Caltha palustris,Caltha,Ranunculaceae,marsh-marigold,native,single flower,4.37,empirical,Baude et al. 2016,same species; 15 flowers measured (2 sites on 2 days)
Calystegia sepium,Calystegia,Convolvulaceae,hedge bindweed,native,single flower,1800.78,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Calystegia silvatica,Calystegia,Convolvulaceae,giant bindweed,non-native,single flower,1800.78,empirical,Baude et al. 2016,1 species in genus (Calystegia sepium); 20 flowers measured (2 sites on 2 days)
Camellia japonica,Camellia,Theaceae,"common camellia, Japanese camellia",non-native,single flower,5775.62,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Campanula persicifolia,Campanula,Campanulaceae,peach-leaved bellflower,non-native,single flower,185.63,empirical,Tew et al. (this study),1 species in genus (Campanula lactiflora); 10 flowers measured (1 site on 1 day)
Campanula portenschlagiana/poscharskyana,Campanula,Campanulaceae,"trailing/Serbian bellflower, wall/Dalmatian bellflower",non-native,single flower,598.35,empirical,Tew et al. (this study),same species (Campanula poscharskyana); 30 flowers measured (2 sites on 2 days)
Campanula rotundifolia,Campanula,Campanulaceae,harebell,native,single flower,290.18,empirical,Baude et al. 2016,same species; 15 flowers measured (2 sites on 2 days)
Capsella bursa-pastoris,Capsella,Brassicaceae,shepherd's purse,non-native,single flower,3.67,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 29 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Cardamine amara,Cardamine,Brassicaceae,large bitter-cress,native,single flower,58.68,empirical,Baude et al. 2016,1 species in genus (Cardamine pratensis); 20 flowers measured (2 sites on 2 days)
Cardamine hirsuta/flexuosa,Cardamine,Brassicaceae,"hairy bittercress, wavy bittercress, wood bittercress",native,single flower,4.50,empirical,Baude et al. 2016,same species (Cardamine hirsuta/flexuosa); 10 flowers measured (1 site on 1 day)
Cardamine pratensis,Cardamine,Brassicaceae,"cuckooflower, lady's smock, mayflower",native,single flower,58.68,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Carduus nutans,Carduus,Asteraceae,"musk thistle, nodding thistle",native,single capitulum,1067.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ceanothus sp,Ceanothus,Rhamnaceae,"California lilac, wild lilac, soap bush",non-native,single thyrse,3316.29,empirical,Tew et al. (this study),2/3 varieties in genus; 24 flowers measured (2 sites on 2 days) and 6 FUs counted
Centaurea cyanus,Centaurea,Asteraceae,"cornflower, bachelor's button",non-native,single capitulum,895.83,empirical,Hicks et al. 2016,same species; 17 floral units sampled (1 site on 1 day)
Centaurea montana,Centaurea,Asteraceae,"perennial cornflower, mountain cornflower",non-native,single capitulum,17945.11,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day) and 5 FUs counted
Centaurea nigra,Centaurea,Asteraceae,lesser/common/black knapweed,native,single capitulum,6089.74,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 20 floral units sampled (3 sites on 4 days); weighted mean used to combine datasets at FU level
Centranthus ruber,Centranthus,Valerianaceae,red valerian,non-native,single compound cyme,908.18,empirical,Tew et al. (this study),same species; 30 flowers measured (2 sites on 2 days) and 5 FUs counted
Cephalaria gigantea,Cephalaria,Dipsacaceae,giant/Tatarian scabious,non-native,single capitulum,2253.25,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Cerastium fontanum,Cerastium,Caryophyllaceae,mouse-ear chickweed,native,single flower,20.90,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 28 flowers measured (3 sites on 4 days); weighted mean used to combine datasets
Cerastium tomentosum,Cerastium,Caryophyllaceae,snow-in-summer,non-native,single flower,46.44,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ceratocapnos claviculata,Ceratocapnos,Papaveraceae,climbing corydalis,native,single flower,241.58,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ceratostigma plumbaginoides,Ceratostigma,Plumbaginaceae,"blue leadwort, plumbago",non-native,single flower,309.78,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Chaenomeles japonica/speciosa and hybrids,Chaenomeles,Rosaceae,"Japanese quince, Chinese quince, Maule's quince",non-native,single flower,201.46,empirical,Tew et al. (this study),same species (Chaenomeles speciosa and hybrid); 40 flowers (2 sites on 2 days); mean of all 40 flowers taken
Chaenorhinum minus,Chaenorhinum,Scrophulariaceae,"small toadflax, dwarf snapdragon",non-native,single flower,74.93,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Chaerophyllum temulum,Chaerophyllum,Apiaceae,rough chervil,native,secondary umbel,69.91,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Chamaemelum nobile,Chamaemelum,Asteraceae,Roman/English/garden chamomile,native,single capitulum,496.53,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Chamerion angustifolium,Chamerion,Onagraceae,"fireweed, rosebay willowberb",native,single flower,707.86,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 31 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Chenopodium spp,Chenopodium,Chenopodiaceae,goosefoots,native,single flower,0.00,modelled,Tew et al. (this study - modelled),"Values estimated from predictive modelling; prediction from model was -0.40, so assigned 0"
Chionodoxa sp,Chionodoxa,Asparagaceae,glory-of-the-snow,non-native,single flower,298.09,empirical,Tew et al. (this study),1 species in genus (Chionodoxa luciliae); 25 flowers measured (2 sites on 2 days)
Choisya ternata,Choisya,Rutaceae,Mexican orange blossom,non-native,single flower,300.08,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Chrysanthemum x grandiflorum,Chrysanthemum,Asteraceae,"florist's daisy, chrysanthemum",non-native,single capitulum,3144.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Circaea lutetiana,Circaea,Onagraceae,enchanter's-nightshade,native,single flower,6.52,empirical,Baude et al. 2016,same species; 19 flowers measured (2 sites on 2 days)
Cirsium arvense,Cirsium,Asteraceae,creeping thistle,native,single capitulum,4967.38,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 25 floral units sampled (3 sites on 3 days); weighted mean used to combine datasets at FU level
Cirsium palustre,Cirsium,Asteraceae,marsh thistle,native,single capitulum,12279.02,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Cirsium rivulare,Cirsium,Asteraceae,plume thistle,non-native,single capitulum,4967.38,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Cirsium arvense); 25 floral units sampled (3 sites on 3 days); weighted mean used to combine datasets at FU level
Cirsium vulgare,Cirsium,Asteraceae,spear thistle,native,single capitulum,12024.29,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 13 floral units sampled (3 sites on 3 days); weighted mean used to combine datasets at FU level
Cistus sp,Cistus,Cistaceae,rock rose,non-native,single flower,369.78,empirical,Tew et al. (this study),2 species in genus (unweighted mean of Cistus x argenteus and Cistus × purpureus); 35 flowers measured (2 sites on 4 days)
Citrus sp,Citrus,Rutaceae,"orange, lemon etc.",non-native,single flower,401.86,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Clarkia amoena,Clarkia,Onagraceae,"farewell to spring, godetia",non-native,single flower,234.15,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Claytonia sibirica,Claytonia,Montiaceae,"pink purslane, candy flower, Siberian spring beauty",non-native,single flower,60.12,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Clematis spp (ornamental),Clematis,Ranunculaceae,clematis,non-native,single flower,0.00,empirical,Tew et al. (this study),1 species in genus (Clematis montana); 3 flowers measured (1 site on 1 day)
Clematis vitalba,Clematis,Ranunculaceae,"old man's beard, traveller's joy",native,single flower,149.73,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Clinopodium sp.,Clinopodium,Lamiaceae,calamints,native,single flower,98.64,empirical,Tew et al. (this study),1 species in genus (Satureja montana used given it is synonymous with Clinopodium montanum); 15 flowers measured (1 site on 1 day)
Cochlearia anglica,Cochlearia,Brassicaceae,English scurvygrass,native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Conopodium majus,Conopodium,Apiaceae,"pignut, groundnut",native,secondary umbel,69.91,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Consolida regalis,Consolida,Ranunculaceae,forking/field/rocket larkspur,non-native,single flower,60.65,empirical,Tew et al. (this study),1 species in genus (Delphinium elatum used given Consolida regalis is synonymous with various Delphinium spp.); 12 flowers measured (1 site on 1 day)
Convolvulus arvensis,Convolvulus,Convolvulaceae,field bindweed,native,single flower,351.82,empirical,Baude et al. 2016,same species; 14 flowers (2 sites on 2 days)
Conyza canadensis,Conyza,Asteraceae,"horseweed, Canadian fleabane",non-native,single capitulum,59.44,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Coreopsis spp,Coreopsis,Asteraceae,tickseed,non-native,single capitulum,1235.79,empirical,Tew et al. (this study),1 species in genus (Coreopsis verticiliata); 10 flowers measured (1 site on 1 day) and 5 FUs counted
Coriandrum sativum,Coriandrum,Apiaceae,"coriander, Chinese parsley, cilantro",non-native,secondary umbel,69.91,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Cornus alba/sericea,Cornus,Cornaceae,white/red-osier dogwood,non-native,single corymb,2531.47,empirical,Baude et al. 2016,1 species in genus (Cornus sanguinea); 10 flowers measured (1 site on 1 day) and 10 FUs counted
Cornus sanguinea,Cornus,Cornaceae,common dogwood,native,single corymb,2531.47,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day) and 10 FUs counted
Cosmos atrosanguineus,Cosmos,Asteraceae,chocolate cosmos,non-native,single capitulum,701.08,empirical,Hicks et al. 2016,1 species in genus (Cosmos bipinnatus); 11 FUs counted (1 site on 1 day)
Cosmos bipinnatus,Cosmos,Asteraceae,"garden cosmos, Mexican aster",non-native,single capitulum,701.08,empirical,Hicks et al. 2016,same species; 11 FUs counted (1 site on 1 day)
Cotoneaster spp,Cotoneaster,Rosaceae,cotoneaster,non-native,single flower,337.72,empirical,Tew et al. (this study),1 or 2 species in genus; 42 flowers measured (2 sites on 2 days); mean of all 42 flowers taken
Cotula coronopifolia,Cotula,Asteraceae,brass/golden buttons,non-native,single capitulum,177.09,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Crataegus monogyna,Crataegus,Rosaceae,common hawthorn,native,single flower,102.47,empirical,Baude et al. 2016,same species; 18 flowers measured (2 sites measured on 2 days)
Crepis biennis,Crepis,Asteraceae,rough hawksbeard,native,single capitulum,134.70,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Crepis capillaris); 15 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Crepis capillaris,Crepis,Asteraceae,smooth hawksbeard,native,single capitulum,134.70,empirical,Baude et al. 2016; Hicks et al. 2016,same species (Crepis capillaris); 15 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Crepis vesicaria,Crepis,Asteraceae,beaked hawk's-beard,non-native,single capitulum,134.70,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Crepis capillaris); 15 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Crocosmia x crocosmiiflora,Crocosmia,Iridaceae,"montbretia, crocosmia",non-native,single flower,4159.05,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Cruciata laevipes,Cruciata,Rubiaceae,"crosswort, smooth bedstraw",native,single flower,0.94,empirical,Baude et al. 2016,1 species in genus (Galium saxatile used as Cruciata laevipes is synonymous with Galium spp.); 10 flowers measured (1 site on 1 day)
Cucumis sativus,Cucumis,Cucurbitaceae,cucumber,non-native,single flower,5.68,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Cucurbita pepo,Cucurbita,Cucurbitaceae,"squash, pumkin, cucumber",non-native,single flower,18.67,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Cuphea ignea,Cuphea,Lythraceae,cigar plant,non-native,single flower,2128.05,empirical,Tew et al. (this study),1 species in genus (Cuphea cyanea); 10 flowers measured (1 site on 1 day)
Cyclamen hederifolium,Cyclamen,Myrsinoideae,ivy-leaved cyclamen,non-native,single flower,27.25,empirical,Tew et al. (this study),1 species in genus (Cycamen coum); 20 flowers measured (2 sites on 2 days)
Cymbalaria muralis,Cymbalaria,Scrophulariaceae,ivy-leaved toadflax,non-native,single flower,12.25,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Cynara cardunculus,Cynara,Asteraceae,"artichoke, cardoon",non-native,single capitulum,3144.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Cytisus scoparius,Cytisus,Fabaceae,"common broom, Scotch broom",native,single flower,33.96,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Dactylorhiza fuchsii,Dactylorhiza,Orchidaceae,common spotted orchid,native,single flower,384.47,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Dactylorhiza maculata,Dactylorhiza,Orchidaceae,heath spotted-orchid,native,single flower,384.47,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Dahlia x hortensis,Dahlia,Asteraceae,dahlia,non-native,single capitulum,11253.21,empirical,Tew et al. (this study),same species; 29 flowers measured (2 sites on 2 days) and 10 FUs counted
Daucus carota,Daucus,Apiaceae,wild carrot,native,secondary umbel,573.10,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 41 flowers measured (3 sites on 3 days) and 15 FUs counted; weighted mean used to combine datasets at flower level
Delphinium sp,Delphinium,Ranunculaceae,larkspur,non-native,single flower,60.65,empirical,Tew et al. (this study),1 species in genus (Delphinium elatum); 12 flowers measured (1 site on 2 days)
Dianthus spp,Dianthus,Caryophyllaceae,"carnation, sweet william",non-native,single flower,670.06,empirical,Tew et al. (this study),2 species in genus (unweighted mean of Dianthus caryophyllus and Dianthus barbatus); 34 flowers measured (2 sites on 3 days) 
Diascia barberae and hybrids,Diascia,Scrophulariaceae,twinspur,non-native,single flower,0.00,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Dicentra formosa,Dicentra,Papaveraceae,Pacific bleeding heart,non-native,single flower,676.68,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Digitalis purpurea,Digitalis,Scrophulariaceae,foxglove,native,single flower,1273.88,empirical,Baude et al. 2016,same species; 18 flowers measured (2 sites measured on 2 days)
Diplotaxis muralis,Diplotaxis,Brassicaceae,annual wall-rocket,non-native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Diplotaxis tenuifolia,Diplotaxis,Brassicaceae,perennial wall-rocket,non-native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Dipsacus fullonum,Dipsacus,Dipsacaceae,teasel,native,single capitulum,1058.33,empirical,Timberlake et al. 2019,same species
Doronicum spp,Doronicum,Asteraceae,leopard's bane,non-native,single capitulum,1067.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Dorotheanthus bellidiformis,Dorotheanthus,Aizoaceae,Livingstone daisy,non-native,single flower,1078.35,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Echeveria sp,Echeveria,Crassulaceae,echeveria,non-native,single flower,60.12,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Echinacea purpurea,Echinacea,Asteraceae,purple coneflower,non-native,single capitulum,2349.55,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 9 FUs counted
Echinops ritro,Echinops,Asteraceae,southern globe thistle,non-native,single capitulum,22622.98,empirical,Tew et al. (this study),same species; 34 flowers measured (2 sites on 3 days) and 11 FUs counted
Epilobium spp,Epilobium,Onagraceae,willowherbs,native,single flower,136.59,empirical,Baude et al. 2016; Hicks et al. 2016,"4 species in genus (unweighted mean of Epilobium ciliatum, Epilobium hirsutum, Epilobium montanum and Epilobium tetragonum); 70 flowers measured (4 sites on 7 days); value for Epilobium montanum already a weighted mean of two datasets"
